pair,price,source,volume
IOST/ETH,$731.82,OKEx,"$758,386"
TRX/ETH,$722.08,HitBTC,"$755,664"
WAVES/ETH,$726.50,Binance,"$754,821"
ENG/ETH,$723.80,Huobi,"$753,223"
MCO/ETH,$715.93,Huobi,"$748,856"
AAC/ETH,$745.02,Lbank,"$743,438"
PPT/ETH,$722.17,Binance,"$739,230"
ETH/JPY,$719.32,Quoine,"$734,088"
ETH/INR,$707.98,Zebpay,"$732,995"
HAV/ETH,$741.23,Kucoin,"$732,114"
HSR/ETH,$715.51,OKEx,"$723,028"
XRP/ETH,$716.42,OTCBTC,"$716,318"
ZIL/ETH,$709.34,Gate.io,"$714,501"
DASH/ETH,$724.18,Binance,"$712,065"
MTL/ETH,$723.98,Binance,"$711,561"
BCC/ETH,$719.02,Upbit,"$702,359"
ETH/BTC,$723.91,Coinrail,"$701,903"
BLZ/ETH,$724.70,Binance,"$697,156"
TRX/ETH,$722.37,Qryptos,"$691,193"
QSP/ETH,$716.46,Huobi,"$685,024"
ETH/JPY,$721.42,Bitfinex,"$681,880"
STK/ETH,$719.00,Huobi,"$681,492"
ETH/USDT,$678.29,MBAex,"$679,869"
ETH/TRY,$688.56,Vebitcoin,"$674,980"
ETH/BTC,$726.68,xBTCe,"$670,199"
ETH/BTC,$726.68,Omicrex,"$670,199"
ENJ/ETH,$718.48,Liqui,"$670,119"
AWR/ETH,$717.82,Bibox,"$669,723"
DGD/ETH,$720.24,Binance,"$667,822"
ZEC/ETH,$723.54,Binance,"$664,635"
SALT/ETH,$718.09,Binance,"$664,442"
DASH/ETH,$721.36,Coinsuper,"$662,148"
DNT/ETH,$724.67,Binance,"$654,391"
OCN/ETH,$723.20,Gate.io,"$653,975"
GRS/ETH,$724.92,Binance,"$651,508"
ETH/BTC,$725.58,Coinsquare,"$651,404"
NEBL/ETH,$722.96,Binance,"$650,349"
DAX/ETH,$761.44,Lbank,"$647,753"
IPSX/ETH,$710.59,Bibox,"$644,799"
ZLA/ETH,$716.87,Huobi,"$643,224"
QTUM/ETH,$719.06,Bitfinex,"$642,524"
EOS/ETH,$726.43,fex,"$639,584"
LTC/ETH,$719.84,OTCBTC,"$636,059"
OF/ETH,$708.23,OKEx,"$632,858"
FUEL/ETH,$724.81,Binance,"$632,699"
ELEC/ETH,$719.13,Kucoin,"$632,089"
DDD/ETH,$720.77,Gate.io,"$628,971"
AMB/ETH,$719.41,Binance,"$628,292"
WINGS/ETH,$721.09,Liqui,"$627,645"
NEO/ETH,$718.88,OTCBTC,"$627,183"
LIGHT/ETH,$711.81,OKEx,"$617,066"
NPXS/ETH,$652.92,IDEX,"$614,728"
WTC/ETH,$718.78,Binance,"$607,575"
ETH/USD,$718.26,Livecoin,"$602,243"
UKG/ETH,$767.35,Qryptos,"$598,639"
POWR/ETH,$719.69,Huobi,"$596,664"
CNX/ETH,$747.21,Cryptonex,"$592,132"
VERI/ETH,$728.01,EtherDelta (ForkDelta),"$591,987"
NEO/ETH,$721.18,Bitfinex,"$589,206"
SNC/ETH,$749.71,HitBTC,"$585,818"
MFG/ETH,$718.80,Cobinhood,"**

$25,871,800"
ETH/USD,$724.94,Neraex,"**

$4,786,810"
