coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$6,709","LGD
LegendaryCoin",253,$0.001349,"4,974,612",Low Vol,2015
"$6,663","CXC
CheckOutCoin",254,$0.001322,"5,041,397
*",Low Vol,2015
"$6,628","CIN
Cinder",255,$0.000058,"114,180,804
*",Low Vol,2015
"$6,596","TIT
Titcoin",256,$0.000283,"23,279,587",Low Vol,2015
"$6,514","KTK
Kryptkoin",257,$0.000375,"17,354,532",Low Vol,2015
"$6,285","COV
Coven",258,$0.187036,"33,605
*",$714,2015
"$6,211","GCN
GCN Coin",259,$8.1e-08,"77,128,989,167",Low Vol,2015
"$6,172","OK
OKCash",260,$0.000140,"44,129,520
*",Low Vol,2015
"$5,914","ASC
AsicCoin",261,$0.000011,"538,053,251",Low Vol,2015
"$5,864","U
UCoin",262,$0.002210,"2,652,987
*",Low Vol,2015
"$5,533","UTIL
UtilityCoin",263,$0.001479,"3,741,361
*",Low Vol,2015
"$5,139","GIVE
GiveCoin",264,$0.000023,"220,740,000",Low Vol,2015
"$5,053","MNC
Mincoin",265,$0.002935,"1,721,350",Low Vol,2015
"$4,857","CC
CyberCoin",266,$0.000012,"404,810,605
*",Low Vol,2015
"$4,813","JUDGE
Judgecoin",267,$0.000413,"11,651,765",Low Vol,2015
"$4,591","BTG
Bitgem",268,$0.134740,"34,075",Low Vol,2015
"$4,166","SOON
SoonCoin",269,$0.000399,"10,448,189
*",Low Vol,2015
"$3,878","TRK
Truckcoin",270,$0.000167,"23,160,627
*",Low Vol,2015
"$3,812","RPC
RonPaulCoin",271,$0.015487,"246,148",Low Vol,2015
"$3,724","BVC
BeaverCoin",272,$0.001474,"2,527,165",Low Vol,2015
"$3,717","HAL
Halcyon",273,$0.002286,"1,626,446",Low Vol,2015
"$3,603","HLC
HellasCoin",274,$0.000302,"11,938,050",Low Vol,2015
"$3,551","LSD
Lightspeed",275,$0.004624,"767,911",Low Vol,2015
"$3,423","HRNXT
HRNXTPool",276,$0.034235,"100,000
*",Low Vol,2015
"$3,319","STV
Sativacoin",277,$0.000473,"7,014,748",Low Vol,2015
"$2,966","BTCRY
BitCrystal",278,$0.000013,"221,161,074",Low Vol,2015
"$2,927","LYC
Lycancoin",279,$0.000011,"257,833,791",Low Vol,2015
"$2,911","ARG
Argentum",280,$0.001978,"1,471,853",Low Vol,2015
"$2,911","BUN
BunnyCoin",281,$3.1e-08,"93,611,308,248",Low Vol,2015
"$2,864","TRI
Triangles",282,$0.057875,"49,493",Low Vol,2015
"$2,705","ABC2
Abundance2",283,$0.003909,"692,087
*",Low Vol,2015
"$2,688","GSM
GSMcoin",284,$0.001475,"1,822,143
*",Low Vol,2015
"$2,622","GAP
Gapcoin",285,$0.001218,"2,152,468",Low Vol,2015
"$2,613","BITZ
Bitz",286,$0.001353,"1,931,210",Low Vol,2015
"$2,516","BCF
Bitcoin Fast",287,$0.001998,"1,258,973",Low Vol,2015
"$2,433","GHC
GamerholicCoin",288,$0.003118,"780,330",Low Vol,2015
"$2,046","ASN
Ascension",289,$0.000111,"18,498,708
*",Low Vol,2015
"$1,984","ROOT
RootCoin",290,$0.001034,"1,919,885",Low Vol,2015
"$1,892","ULTC
Umbrella-LTC",291,$0.002786,"678,880",Low Vol,2015
"$1,488","LUX
BitLux",292,$0.013066,"113,893
*",$594,2015
"$1,468","GIZ
GIZMOcoin",293,$0.000019,"75,846,491",Low Vol,2015
"$1,436","CF
Californium",294,$0.014341,"100,138",Low Vol,2015
"$1,414","ANAL
AnalCoin",295,$0.009691,"145,956
*",Low Vol,2015
"$1,158","AXR
Axron",296,$0.001077,"1,075,900
*",Low Vol,2015
"$1,156","P7C
P7Coin",297,$0.000117,"9,878,242",Low Vol,2015
"$1,123","TAK
TakCoin",298,$0.000007,"169,950,240",Low Vol,2015
$905,"CAM
CamorraCoin",299,$0.000264,"3,422,426",Low Vol,2015
$886,"42
42-coin",300,$965.76,0.9178677,Low Vol,2015
$806,"UIS
Unitus",301,$0.000076,"10,625,832",Low Vol,2015
$780,"CRT
CRTCoin",302,$0.009845,"79,270",Low Vol,2015
$750,"PXI
Prime-XI",303,$0.000166,"4,512,799",Low Vol,2015
$749,"CHILD
X-Children",304,$0.000387,"1,933,773",Low Vol,2015
$706,"BAT
BatCoin",305,$1.1e-07,"6,481,010,000",Low Vol,2015
$475,"EAGS
EagsCurrency",306,$0.000195,"2,439,254
*",Low Vol,2015
$463,"SEED
SeedCoin",307,$0.000148,"3,116,959",Low Vol,2015
$429,"LMR
LemurCoin",308,$0.004292,"100,000",Low Vol,2015
$394,"PURA
Pura",309,$0.000022,"17,896,440",Low Vol,2015
$28,"HZT
HazMatCoin",310,$0.000038,"750,916",Low Vol,2015
"$468,176","PANGEA
Pangea Poker",311,$0.468479,"999,352
*",Low Vol,2015
"$325,714","SF0
sharkfund0",312,$247.90,"1,314
*",Low Vol,2015
"$324,239","NXTcoinsco
Tradebots",313,$0.326722,"992,400
*",Low Vol,2015
"$298,129","10K
Experiment 10k",314,$0.000002,"135,349,518,072
*",Low Vol,2015
"$252,911","MINT
Mintcoin",315,$0.000012,"21,026,399,993
*",Low Vol,2015
"$210,612","I0C
I0Coin",316,$0.010134,"20,782,342",Low Vol,2015
"$164,534","NXTprivacy
NXTprivacy",317,$0.164534,"1,000,000
*",Low Vol,2015
"$145,536","PTS
BitShares PTS",318,$0.000146,"999,999,386
*",Low Vol,2015
"$140,834","CNMT
Coinomat",319,$0.046945,"3,000,000
*",Low Vol,2015
"$140,373","CINNI
Cinni",320,$0.000961,"146,040,423
*",Low Vol,2015
"$132,323","DICE
NeoDICE",321,$0.132323,"1,000,000
*",Low Vol,2015
"$119,546","ATOMIC
ATOMIC",322,$0.195977,"610,000
*",Low Vol,2015
"$105,366","DEM
Deutsche eMark",323,$0.006337,"16,627,464",Low Vol,2015
"$91,563","UCI
UCIcoin",324,$0.022043,"4,153,845
*",Low Vol,2015
"$75,710","ECC
ECC",325,$0.000004,"18,572,556,681
*",Low Vol,2015
"$54,227","SYNC
Sync",326,$46.14,"1,175
*",Low Vol,2015
"$48,387","MTC
Marinecoin",327,$0.006627,"7,301,353",Low Vol,2015
"$44,023","XDP
Dogeparty",328,$0.016429,"2,679,521
*",Low Vol,2015
"$39,985","MRC
microCoin",329,$0.000002,"18,387,562,489
*",Low Vol,2015
"$39,766","PND
Pandacoin",330,$0.000001,"32,483,405,156",Low Vol,2015
"$34,019","NXTTY
Nxttycoin",331,$0.000034,"1,000,000,000
*",Low Vol,2015
"$29,667","CAP
Bottlecaps",332,$0.001977,"15,005,618",Low Vol,2015
"$23,535","NTR
Neutrino",333,$0.000112,"210,545,045",Low Vol,2015
"$21,479","MMC
Memorycoin",334,$0.002138,"10,047,640",Low Vol,2015
